Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
setText,Chrome 65.0.3325.181,,2561-03-29 04:26:06,2561-03-29 04:26:06,0.074s,PASSED
setText,Chrome 65.0.3325.181,,2561-03-29 04:26:06,2561-03-29 04:26:06,0.076s,PASSED
click,Chrome 65.0.3325.181,,2561-03-29 04:26:06,2561-03-29 04:26:06,0.067s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2561-03-29 04:26:06,2561-03-29 04:26:07,0.599s,PASSED
,,,,,,
Test Cases/Create_Course_BlankMaxStudent_MessagePleaseFill,Chrome 65.0.3325.181,,2561-03-29 04:26:07,2561-03-29 04:26:11,4.264s,PASSED
openBrowser,Chrome 65.0.3325.181,,2561-03-29 04:26:07,2561-03-29 04:26:09,2.049s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2561-03-29 04:26:09,2561-03-29 04:26:09,0.516s,PASSED
setText,Chrome 65.0.3325.181,,2561-03-29 04:26:09,2561-03-29 04:26:09,0.141s,PASSED
setText,Chrome 65.0.3325.181,,2561-03-29 04:26:09,2561-03-29 04:26:10,0.095s,PASSED
click,Chrome 65.0.3325.181,,2561-03-29 04:26:10,2561-03-29 04:26:10,0.086s,PASSED
selectOptionByValue,Chrome 65.0.3325.181,,2561-03-29 04:26:10,2561-03-29 04:26:10,0.224s,PASSED
click,Chrome 65.0.3325.181,,2561-03-29 04:26:10,2561-03-29 04:26:10,0.067s,PASSED
click,Chrome 65.0.3325.181,,2561-03-29 04:26:10,2561-03-29 04:26:10,0.038s,PASSED
setText,Chrome 65.0.3325.181,,2561-03-29 04:26:10,2561-03-29 04:26:10,0.079s,PASSED
setText,Chrome 65.0.3325.181,,2561-03-29 04:26:10,2561-03-29 04:26:10,0.070s,PASSED
setText,Chrome 65.0.3325.181,,2561-03-29 04:26:10,2561-03-29 04:26:10,0.117s,PASSED
click,Chrome 65.0.3325.181,,2561-03-29 04:26:10,2561-03-29 04:26:10,0.068s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2561-03-29 04:26:10,2561-03-29 04:26:11,0.597s,PASSED
,,,,,,
Test Cases/Create_Course_BlankSection_MessagePleaseFill,Chrome 65.0.3325.181,,2561-03-29 04:26:11,2561-03-29 04:26:15,4.238s,PASSED
openBrowser,Chrome 65.0.3325.181,,2561-03-29 04:26:11,2561-03-29 04:26:13,2.030s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2561-03-29 04:26:13,2561-03-29 04:26:14,0.598s,PASSED
setText,Chrome 65.0.3325.181,,2561-03-29 04:26:14,2561-03-29 04:26:14,0.143s,PASSED
setText,Chrome 65.0.3325.181,,2561-03-29 04:26:14,2561-03-29 04:26:14,0.094s,PASSED
click,Chrome 65.0.3325.181,,2561-03-29 04:26:14,2561-03-29 04:26:14,0.068s,PASSED
selectOptionByValue,Chrome 65.0.3325.181,,2561-03-29 04:26:14,2561-03-29 04:26:14,0.199s,PASSED
click,Chrome 65.0.3325.181,,2561-03-29 04:26:14,2561-03-29 04:26:14,0.064s,PASSED
click,Chrome 65.0.3325.181,,2561-03-29 04:26:14,2561-03-29 04:26:14,0.038s,PASSED
setText,Chrome 65.0.3325.181,,2561-03-29 04:26:14,2561-03-29 04:26:14,0.074s,PASSED
setText,Chrome 65.0.3325.181,,2561-03-29 04:26:14,2561-03-29 04:26:14,0.073s,PASSED
setText,Chrome 65.0.3325.181,,2561-03-29 04:26:14,2561-03-29 04:26:14,0.113s,PASSED
click,Chrome 65.0.3325.181,,2561-03-29 04:26:14,2561-03-29 04:26:15,0.063s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2561-03-29 04:26:15,2561-03-29 04:26:15,0.595s,PASSED
